,Time_of_Incident,Time_of_report,Incident,Location,month_year
859,2019-10-07 22:45:00+00:00,2019-11-12,Theft,Elkton Hall,2019-10
860,2019-10-03 22:45:00+00:00,2019-11-12,Alcohol Violation,Ellicott Hall,2019-10
861,2019-10-13 18:00:00+00:00,2019-11-12,Vandalism,Ellicott Hall,2019-10
862,2019-10-27 03:00:00+00:00,2019-11-12,Vandalism,Ellicott Hall,2019-10
863,2019-10-19 22:15:00+00:00,2019-11-12,Alcohol Violation,Garrett Hall,2019-10
864,2019-10-10 21:00:00+00:00,2019-11-12,Alcohol Violation,Hagerstown Hall,2019-10
865,2019-10-02 23:15:00+00:00,2019-11-12,Other Incident,Hagerstown Hall,2019-10
866,2019-10-17 22:45:00+00:00,2019-11-12,Vandalism,Hagerstown Hall,2019-10
867,2019-10-18 22:15:00+00:00,2019-11-12,Alcohol Violation,LaPlata Hall,2019-10
868,2019-10-12 12:00:00+00:00,2019-11-12,Vandalism,LaPlata Hall,2019-10
869,2019-10-09 23:00:00+00:00,2019-11-12,Theft,Oakland Hall,2019-10
870,2019-10-11 00:39:00+00:00,2019-11-12,Noise Violation,4800 Harvard Road,2019-10
871,2019-10-11 00:12:00+00:00,2019-11-12,Noise Violation,9000 St. Andrews Place,2019-10
872,2019-10-18 00:00:00+00:00,2019-11-12,Alcohol Violation,7500 Hopkins Avenue,2019-10
873,2019-10-11 01:30:00+00:00,2019-11-12,Rape,Queen Anne's Hall,2019-10
874,2019-10-18 00:00:00+00:00,2019-11-12,Noise Violation,South Campus Commons,2019-10
875,2019-10-12 00:00:00+00:00,2019-11-12,Vandalism,Wicomico Hall,2019-10
876,2019-10-03 20:52:00+00:00,2020-02-18,Aggravated Assault,4300 Metzerott Road,2019-10
877,2019-11-09 03:00:00+00:00,2019-12-10,Noise Violation,Cecil Hall,2019-11
878,2019-11-23 23:30:00+00:00,2019-12-10,Alcohol Violation,Centreville Hall,2019-11
879,2019-11-02 09:45:00+00:00,2019-12-10,Vandalism,Centreville Hall,2019-11
880,2019-11-08 23:30:00+00:00,2019-12-10,Vandalism,Centreville Hall,2019-11
881,2019-11-19 20:30:00+00:00,2019-12-10,Vandalism,Centreville Hall,2019-11
882,2019-11-23 22:40:00+00:00,2019-12-10,Vandalism,Centreville Hall,2019-11
883,2019-11-09 12:45:00+00:00,2019-12-10,Vandalism,Chestertown Hall,2019-11
884,2019-11-01 00:00:00+00:00,2019-12-10,Alcohol Violation,Cumberland Hall,2019-11
885,2019-11-06 11:45:00+00:00,2019-12-10,Vandalism,Cumberland Hall,2019-11
886,2019-11-17 00:45:00+00:00,2019-12-10,Vandalism,Cumberland Hall,2019-11
887,2019-11-25 20:30:00+00:00,2019-12-10,Vandalism,Cumberland Hall,2019-11
888,2019-11-15 00:00:00+00:00,2019-12-10,Noise Violation,Cumberland Hall,2019-11
889,2019-11-26 20:15:00+00:00,2019-12-10,Theft,Cumberland Hall,2019-11
890,2019-11-26 19:30:00+00:00,2019-12-10,Theft,Denton Hall,2019-11
891,2019-11-03 15:00:00+00:00,2019-12-10,Vandalism,Denton Hall,2019-11
892,2019-11-01 01:45:00+00:00,2019-12-10,Alcohol Violation,Easton Hall,2019-11
893,2019-11-03 01:10:00+00:00,2019-12-10,Alcohol Violation,Elkton Hall,2019-11
894,2019-11-09 01:25:00+00:00,2019-12-10,Vandalism,Elkton Hall,2019-11
895,2019-11-10 19:30:00+00:00,2019-12-10,Vandalism,Elkton Hall,2019-11
896,2019-11-12 23:15:00+00:00,2019-12-10,Theft,Elkton Hall,2019-11
897,2019-11-08 22:15:00+00:00,2019-12-10,Vandalism,Ellicott Hall,2019-11
898,2019-11-23 00:15:00+00:00,2019-12-10,Vandalism,Ellicott Hall,2019-11
899,2019-11-15 21:30:00+00:00,2019-12-10,Noise Violation,Ellicott Hall,2019-11
900,2019-11-15 22:15:00+00:00,2019-12-10,Alcohol Violation,Hagerstown Hall,2019-11
901,2019-11-27 09:15:00+00:00,2019-12-10,Theft,Hagerstown Hall,2019-11
902,2019-11-10 01:30:00+00:00,2019-12-10,Alcohol Violation,LaPlata Hall,2019-11
903,2019-11-09 12:00:00+00:00,2019-12-10,Vandalism,LaPlata Hall,2019-11
904,2019-11-04 20:38:00+00:00,2019-12-10,Alcohol Violation,LeonardtownApartments,2019-11
905,2019-11-26 20:00:00+00:00,2019-12-10,Theft,Oakland Hall,2019-11
906,2019-11-23 13:51:00+00:00,2019-12-10,Noise Violation,7300 Rhode Island Avenue,2019-11
907,2019-11-02 11:03:00+00:00,2019-12-10,Alcohol Violation,7500 Hopkins Avenue,2019-11
908,2019-11-06 19:30:00+00:00,2019-12-10,Theft,Somerset Hall,2019-11
909,2019-11-19 01:30:00+00:00,2019-12-10,Noise Violation,South Campus Commons,2019-11
910,2019-11-23 01:15:00+00:00,2019-12-10,Noise Violation,Worcester Hall,2019-11
911,2019-12-13 22:30:00+00:00,2020-01-07,Harassment,Caroline Hall,2019-12
912,2019-12-11 00:00:00+00:00,2020-01-07,Noise Violation,Centreville Hall,2019-12
913,2019-12-10 12:30:00+00:00,2020-01-07,Noise Violation,Cumberland Hall,2019-12
914,2019-12-14 22:15:00+00:00,2020-01-07,Noise Violation,Cumberland Hall,2019-12
915,2019-12-16 22:15:00+00:00,2020-01-07,Noise Violation,Cumberland Hall,2019-12
916,2019-12-05 23:30:00+00:00,2020-01-07,Theft,Cumberland Hall,2019-12
917,2019-12-14 23:00:00+00:00,2020-01-07,Vandalism,Denton Hall,2019-12
918,2019-12-15 19:00:00+00:00,2020-01-07,Noise Violation,Dorchester Hall,2019-12
919,2019-12-05 21:30:00+00:00,2020-01-07,Noise Violation,Easton Hall,2019-12
920,2019-12-08 16:30:00+00:00,2020-01-07,Vandalism,Elkton Hall,2019-12
921,2019-12-14 22:30:00+00:00,2020-01-07,Noise Violation,Ellicott Hall,2019-12
922,2019-12-10 01:45:00+00:00,2020-01-07,Noise Violation,Hagerstown Hall,2019-12
923,2019-12-10 00:30:00+00:00,2020-01-07,Noise Violation,Leonardtown Apartments,2019-12
924,2019-12-01 22:00:00+00:00,2020-01-07,Theft,Leonardtown Apartments,2019-12
925,2019-12-13 00:00:00+00:00,2020-01-07,Noise Violation,Prince Frederick Hall,2019-12
926,2019-12-17 21:32:00+00:00,2020-01-07,Other Incident,Prince Frederick Hall,2019-12
927,2019-12-14 22:45:00+00:00,2020-01-07,Noise Violation,South Campus Commons,2019-12
928,2019-12-10 23:30:00+00:00,2020-01-07,Noise Violation,Wicomico Hall,2019-12
929,2019-12-11 08:13:00+00:00,2020-03-17,CDS Violation,4500 College Avenue,2019-12
930,2020-01-29 01:45:00+00:00,2020-02-05,Noise Violation,Cumberland Hall,2020-01
931,2020-01-26 01:15:00+00:00,2020-02-05,Noise Violation,Elkton Hall,2020-01
932,2020-01-26 01:30:00+00:00,2020-02-05,Alcohol Violation,Hagerstown Hall,2020-01
933,2020-01-26 21:30:00+00:00,2020-02-05,Vandalism,Hagerstown Hall,2020-01
934,2020-01-31 04:00:00+00:00,2020-02-05,Other Incident,Hagerstown Hall,2020-01
935,2020-01-25 11:15:00+00:00,2020-02-05,Alcohol Violation,Leonardtown Apartments,2020-01
936,2020-01-25 22:20:00+00:00,2020-02-05,Alcohol Violation,Leonardtown Apartments,2020-01
937,2020-01-24 22:50:00+00:00,2020-02-05,Alcohol Violation,Oakland Hall,2020-01
938,2020-01-31 14:43:00+00:00,2020-02-05,Noise Violation,4300 Hartwick Road,2020-01
939,2020-01-11 00:00:00+00:00,2021-03-08,Motor Vehicle Theft,4300 Guilford Drive,2020-01
940,2020-01-20 00:00:00+00:00,2021-03-08,Motor Vehicle Theft,5000 Lakeland Road,2020-01
941,2020-01-18 00:00:00+00:00,2021-03-08,Robbery,7500 Girard Avenue,2020-01
942,2020-01-01 00:00:00+00:00,2021-03-25,Harassment,3900 Campus Drive,2020-01
943,2020-02-08 23:45:00+00:00,2020-03-10,Vandalism,Bel Air Hall,2020-02
944,2020-02-15 23:15:00+00:00,2020-03-10,Alcohol Violation,Centreville Hall,2020-02
945,2020-02-02 22:30:00+00:00,2020-03-10,Vandalism,Centreville Hall,2020-02
946,2020-02-16 11:00:00+00:00,2020-03-10,Vandalism,Centreville Hall,2020-02
947,2020-02-11 22:15:00+00:00,2020-03-10,Vandalism,Cumberland Hall,2020-02
948,2020-02-12 02:15:00+00:00,2020-03-10,Noise Violation,Cumberland Hall,2020-02
949,2020-02-14 22:45:00+00:00,2020-03-10,Alcohol Violation,Denton Hall,2020-02
950,2020-02-22 22:15:00+00:00,2020-03-10,Alcohol Violation,Easton Hall,2020-02
951,2020-02-01 20:30:00+00:00,2020-03-10,Harassment,Elkton Hall,2020-02
952,2020-02-14 20:15:00+00:00,2020-03-10,Alcohol Violation,Ellicott Hall,2020-02
953,2020-02-25 19:30:00+00:00,2020-03-10,Theft,Hagerstown Hall,2020-02
954,2020-02-02 22:30:00+00:00,2020-03-10,Vandalism,LaPlata Hall,2020-02
955,2020-02-12 02:15:00+00:00,2020-03-10,Vandalism,LaPlata Hall,2020-02
956,2020-02-22 10:08:00+00:00,2020-03-10,Alcohol Violation,Leonardtown Apartments,2020-02
957,2020-02-14 15:13:00+00:00,2020-03-10,Noise Violation,Leonardtown Apartments,2020-02
958,2020-02-29 16:27:00+00:00,2020-03-10,Noise Violation,4600 Norwich Road,2020-02
959,2020-02-27 22:25:00+00:00,2020-03-10,Noise Violation,4600 Knox Road,2020-02
960,2020-02-29 00:00:00+00:00,2020-03-10,Noise Violation,4500 Hartwick Road,2020-02
961,2020-02-27 22:35:00+00:00,2020-03-10,Noise Violation,7500 Hopkins Avenue,2020-02
962,2020-02-28 17:10:00+00:00,2020-03-10,Alcohol Violation,4500 College Avenue,2020-02
963,2020-02-25 12:30:00+00:00,2020-03-10,Noise Violation,Prince Frederick Hall,2020-02
964,2020-02-16 04:45:00+00:00,2020-03-10,Noise Violation,Somerset Hall,2020-02
965,2020-02-05 22:00:00+00:00,2020-03-10,Noise Violation,South Campus Commons,2020-02
966,2020-02-09 15:57:00+00:00,2020-03-10,Noise Violation,South Campus Commons,2020-02
967,2020-02-04 22:30:00+00:00,2020-03-10,Noise Violation,South Campus Commons,2020-02
968,2020-02-15 23:30:00+00:00,2020-03-10,Noise Violation,South Campus Commons,2020-02
969,2020-02-01 22:00:00+00:00,2020-03-10,Noise Violation,Washington Hall,2020-02
970,2020-02-01 01:30:00+00:00,2020-10-19,Rape,Centreville Hall,2020-02
971,2020-02-22 00:00:00+00:00,2021-03-01,Rape,Leonardtown Apartments,2020-02
972,2020-02-18 00:00:00+00:00,2021-03-02,Dating Violence,4200 Lehigh Road,2020-02
973,2020-02-01 00:00:00+00:00,2021-03-08,Aggravated Assault,7200 Baltimore Avenue,2020-02
974,2020-02-20 00:00:00+00:00,2021-03-08,Burglary/Breaking and Entering,4700 Berwyn House Road,2020-02
975,2020-02-04 00:00:00+00:00,2021-03-08,Motor Vehicle Theft,8300 Baltimore Avenue,2020-02
976,2020-02-18 00:00:00+00:00,2021-03-08,Weapon Law Violations,8300 Baltimore Avenue,2020-02
977,2020-03-06 23:30:00+00:00,2020-04-22,Alcohol Violation,Centreville Hall,2020-03
978,2020-03-08 09:00:00+00:00,2020-04-22,Vandalism,Centreville Hall,2020-03
979,2020-03-12 21:30:00+00:00,2020-04-22,Alcohol Violation,Cumberland Hall,2020-03
980,2020-03-01 00:42:00+00:00,2020-04-22,Alcohol Violation,Denton Hall,2020-03
981,2020-03-06 12:00:00+00:00,2020-04-22,Vandalism,Hagerstown Hall,2020-03
982,2020-03-08 03:30:00+00:00,2020-04-22,Noise Violation,7500 Dickinson Avenue,2020-03
983,2020-03-13 18:11:00+00:00,2020-04-22,Alcohol Violation,7400 Princeton Avenue,2020-03
984,2020-03-11 00:42:00+00:00,2020-04-22,Noise Violation,Somerset Hall,2020-03
985,2020-03-12 23:15:00+00:00,2020-04-22,Noise Violation,South Campus Commons,2020-03
986,2020-03-01 01:40:00+00:00,2020-04-22,Noise Violation,Washington Hall,2020-03
987,2020-03-06 23:30:00+00:00,2020-04-22,Alcohol Violation,Centreville Hall,2020-03
988,2020-03-08 09:00:00+00:00,2020-04-22,Vandalism,Centreville Hall,2020-03
989,2020-03-12 21:30:00+00:00,2020-04-22,Alcohol Violation,Cumberland Hall,2020-03
990,2020-03-01 00:42:00+00:00,2020-04-22,Alcohol Violation,Denton Hall,2020-03
991,2020-03-06 12:00:00+00:00,2020-04-22,Vandalism,Hagerstown Hall,2020-03
992,2020-03-08 03:30:00+00:00,2020-04-22,Noise Violation,7500 Dickinson Avenue,2020-03
993,2020-03-13 18:11:00+00:00,2020-04-22,Alcohol Violation,7400 Princeton Avenue,2020-03
994,2020-03-11 00:42:00+00:00,2020-04-22,Noise Violation,Somerset Hall,2020-03
995,2020-03-12 23:15:00+00:00,2020-04-22,Noise Violation,South Campus Commons,2020-03
996,2020-03-01 01:40:00+00:00,2020-04-22,Noise Violation,Washington Hall,2020-03
997,2022-03-12 23:00:00+00:00,2022-04-22,Alcohol Violation,Leonardtown Apts.,2022-03
998,2020-03-10 00:00:00+00:00,2021-03-08,Burglary/Breaking and Entering,8200 Baltimore Avenue,2020-03
999,2020-03-11 00:00:00+00:00,2021-03-08,Rape,4300 Hartwick Road,2020-03
1000,2020-05-01 18:46:00+00:00,2020-07-17,Noise Violation,4600 Knox Road,2020-05
1001,2020-05-22 00:00:00+00:00,2021-03-08,Drug/Narcotic Violation,8700 Baltimore Avenue,2020-05
1002,2020-05-21 00:00:00+00:00,2021-03-08,Motor Vehicle Theft,9000 Baltimore Avenue,2020-05
1003,2020-05-22 00:00:00+00:00,2021-03-08,Weapon Law Violations,8700 Baltimore Avenue,2020-05
1004,2020-06-19 00:00:00+00:00,2021-03-08,Motor Vehicle Theft,4300 Hartwick Road,2020-06
1005,2020-06-27 00:00:00+00:00,2021-03-08,Robbery,8600 Baltimore Avenue,2020-06
1006,2020-07-07 00:00:00+00:00,2021-03-08,Aggravated Assault,8100 Baltimore Avenue,2020-07
1007,2020-07-27 00:00:00+00:00,2021-03-08,Burglary/Breaking and Entering,4700 Berwyn House Road,2020-07
1008,2020-08-13 00:00:00+00:00,2021-03-08,Assault,4700 Harvard Road,2020-08
1009,2020-08-26 18:30:00+00:00,2021-05-05,Aggravated Assault,Acredale Community Park (4300 Metzerott Road),2020-08
1010,2020-09-04 21:06:00+00:00,2020-10-20,Alcohol Violation,Centreville Hall,2020-09
1011,2020-09-04 22:20:00+00:00,2020-10-20,Alcohol Violation,Cumberland Hall,2020-09
1012,2020-09-25 20:00:00+00:00,2020-10-20,Alcohol Violation,Cumberland Hall,2020-09
1013,2020-09-25 22:30:00+00:00,2020-10-20,Alcohol Violation,Ellicott Hall,2020-09
1014,2020-09-03 08:15:00+00:00,2020-10-20,Alcohol Violation,Hagerstown Hall,2020-09
1015,2020-09-01 22:15:00+00:00,2020-10-20,Alcohol Violation,LaPlata Hall,2020-09
1016,2020-09-10 18:02:00+00:00,2020-10-20,Vandalism,LaPlata Hall,2020-09
1017,2020-09-25 19:52:00+00:00,2020-10-20,Noise Violation,7500 Rhode Island Avenue,2020-09
1018,2020-09-04 23:44:00+00:00,2020-10-20,Noise Violation,4200 Knox Road,2020-09
1019,2020-09-05 13:20:00+00:00,2020-10-20,Noise Violation,7400 Dartmouth Avenue,2020-09
1020,2020-09-11 23:08:00+00:00,2020-10-20,Noise Violation,4300 Knox Road,2020-09
1021,2020-09-11 22:59:00+00:00,2020-10-20,Noise Violation,4300 Knox Road,2020-09
1022,2020-09-04 21:26:00+00:00,2020-10-20,Noise Violation,4300 Knox Road,2020-09
1023,2020-09-26 21:00:00+00:00,2020-10-20,Harassment,7000 Preinkert Drive,2020-09
1024,2020-09-25 22:15:00+00:00,2020-10-20,Alcohol Violation,South Campus Commons,2020-09
1025,2020-09-24 20:00:00+00:00,2020-10-20,Noise Violation,South Campus Commons,2020-09
1026,2020-09-26 22:45:00+00:00,2020-10-20,Vandalism,South Campus Commons,2020-09
1027,2020-09-04 22:30:00+00:00,2020-10-20,Vandalism,South Campus Commons,2020-09
1028,2020-09-01 16:48:00+00:00,2021-05-05,Vandalism,Paint Branch Stream Valley Park (4600 University Blvd),2020-09
1029,2020-10-01 13:11:00+00:00,2020-11-10,Noise Violation,4800 Harvard Road,2020-10
1030,2020-10-09 16:08:00+00:00,2020-11-10,Noise Violation,7500 Princeton Avenue,2020-10
1031,2020-10-08 01:51:00+00:00,2020-11-10,Noise Violation,4500 College Avenue,2020-10
1032,2020-10-03 22:59:00+00:00,2020-11-10,Noise Violation,4700 BerwynHouse Road,2020-10
1033,2020-10-24 20:46:00+00:00,2020-11-10,Noise Violation,3700 Campus Drive,2020-10
1034,2020-10-25 00:38:00+00:00,2020-11-10,Noise Violation,4300 Knox Road,2020-10
1035,2020-10-07 20:20:00+00:00,2020-11-10,Vandalism,Denton Hall,2020-10
1036,2020-10-01 23:15:00+00:00,2020-11-10,Vandalism,Hagerstown Hall,2020-10
1037,2020-10-02 20:45:00+00:00,2020-11-10,Noise Violation,Denton Hall,2020-10
1038,2020-10-11 03:13:00+00:00,2020-11-10,Noise Violation,Oakland Hall,2020-10
1039,2020-10-09 19:00:00+00:00,2020-11-10,Alcohol Violation,LaPlata Hall,2020-10
1040,2020-10-10 22:15:00+00:00,2020-11-10,Alcohol Violation,Denton Hall,2020-10
1041,2020-10-11 02:00:00+00:00,2020-11-10,Vandalism,Easton Hall,2020-10
1042,2020-10-17 00:30:00+00:00,2020-11-10,Noise Violation,South Campus Commons,2020-10
1043,2020-10-17 22:15:00+00:00,2020-11-10,Alcohol Violation,Ellicott Hall,2020-10
1044,2020-10-18 02:30:00+00:00,2020-11-10,Alcohol Violation,Cumberland Hall,2020-10
1045,2020-10-18 23:20:00+00:00,2020-11-10,Noise Violation,Prince Frederick Hall,2020-10
1046,2020-10-21 03:15:00+00:00,2020-11-10,Noise Violation,Hagerstown Hall,2020-10
1047,2020-10-24 22:15:00+00:00,2020-11-10,Noise Violation,South Campus Commons,2020-10
1048,2020-10-29 22:45:00+00:00,2020-11-10,Alcohol Violation,Elkton Hall,2020-10
1049,2020-10-04 04:30:00+00:00,2021-03-01,Rape,4300 Hartwick Road,2020-10
1050,2020-10-10 00:00:00+00:00,2021-03-02,Sexual Assault,8100 Baltimore Avenue,2020-10
1051,2020-10-08 00:00:00+00:00,2021-03-08,Motor Vehicle Theft,4300 Hartwick Road,2020-10
1052,2020-10-29 00:00:00+00:00,2021-03-08,Motor Vehicle Theft,4300 Hartwick Road,2020-10
1053,2020-11-06 22:30:00+00:00,2020-12-14,Alcohol Violation,Centreville Hal,2020-11
1054,2020-11-21 20:15:00+00:00,2020-12-14,Alcohol Violation,Cumberland Hall,2020-11
1055,2020-11-30 00:00:00+00:00,2020-12-14,Harassment,Denton Hall,2020-11
1056,2020-11-06 20:30:00+00:00,2020-12-14,Vandalism,Elkton Hall,2020-11
1057,2020-11-13 22:00:00+00:00,2020-12-14,Alcohol Violation,LaPlata Hall,2020-11
1058,2020-11-11 16:45:00+00:00,2020-12-14,Vandalism,LaPlata Hall,2020-11
1059,2020-11-02 18:08:00+00:00,2020-12-14,Vandalism,Oakland Hall,2020-11
1060,2020-11-20 23:53:00+00:00,2020-12-14,Noise Violation,4700 Berwyn House Rd.,2020-11
1061,2020-11-13 23:11:00+00:00,2020-12-14,Noise Violation,4500 Guilford Rd.,2020-11
1062,2020-11-21 00:19:00+00:00,2020-12-14,Noise Violation,8100 Baltimore Ave.,2020-11
1063,2020-11-17 20:50:00+00:00,2020-12-14,Harassment,8500 Paint Branch Drive,2020-11
1064,2020-11-08 01:15:00+00:00,2020-12-14,Noise Violation,South Campus Commons,2020-11
1065,2020-11-20 20:06:00+00:00,2020-12-14,Noise Violation,St. Mary's Hall,2020-11
1066,2020-11-01 13:31:00+00:00,2020-12-14,Alcohol Violation,Oakland Hall,2020-11
1067,2020-12-09 11:30:00+00:00,2021-01-19,Theft,Dorchester Hall,2020-12
1068,2020-12-05 00:00:00+00:00,2021-01-19,Noise Violation,South Campus Commons,2020-12
1069,2020-12-06 00:12:00+00:00,2021-01-19,Noise Violation,4800 Norwich Road,2020-12
1070,2020-12-12 23:35:00+00:00,2021-01-19,Noise Violation,6800 Baltimore Avenue,2020-12
1071,2020-12-08 16:00:00+00:00,2021-01-19,Theft,Charles Hall,2020-12
1072,2020-12-11 18:15:00+00:00,2021-01-19,Theft,Oakland Hall,2020-12
1073,2020-12-09 10:15:00+00:00,2021-01-19,Theft,Dorchester Hall,2020-12
1074,2020-12-09 11:45:00+00:00,2021-01-19,Theft,Dorchester Hall,2020-12
1075,2021-01-30 01:30:00+00:00,2021-02-09,Noise Violation,Allegany Hall,2021-01
1076,2021-01-24 00:15:00+00:00,2021-02-09,Noise Violation,Elkton Hall,2021-01
1077,2021-01-29 21:45:00+00:00,2021-02-09,Alcohol Violation,Ellicott Hall,2021-01
1078,2021-01-23 22:30:00+00:00,2021-02-09,Alcohol Violation,Ellicott Hall,2021-01
1079,2021-01-24 20:00:00+00:00,2021-02-09,Vandalism,Ellicott Hall,2021-01
1080,2021-01-31 20:11:00+00:00,2021-02-09,Theft,Oakland Hall,2021-01
1081,2021-01-23 23:43:00+00:00,2021-02-09,Noise Violation,4600 Calvert Road,2021-01
1082,2021-01-23 00:01:00+00:00,2021-02-09,Noise Violation,4700 Berwyn House Road,2021-01
1083,2021-01-23 21:51:00+00:00,2021-02-09,Noise Violation,4700 Berwyn House Road,2021-01
1084,2021-01-24 22:00:00+00:00,2021-02-09,Alcohol Violation,Prince Frederick Hall,2021-01
1085,2021-01-30 22:00:00+00:00,2021-02-09,Alcohol Violation,South Campus Commons,2021-01
1086,2021-01-23 16:30:00+00:00,2021-02-09,Alcohol Violation,Oakland Hall,2021-01
1087,2021-01-18 19:54:00+00:00,2021-03-22,Indecent Exposure,8100 Baltimore Avenue,2021-01
1088,2021-01-02 12:00:00+00:00,2022-02-02,Theft,4800 Norwich Rd,2021-01
1089,2021-01-11 17:47:00+00:00,2022-02-02,Theft (From Motor Vehicle),4700 Berwyn House Rd,2021-01
1090,2021-01-16 10:46:00+00:00,2022-02-02,Theft (From Building),8600 Baltimore Ave Sb,2021-01
1091,2021-01-21 10:20:00+00:00,2022-02-02,Fraud (False Pretenses/Swindle/Confidence Game),8300 Baltimore Ave,2021-01
1092,2021-01-24 17:11:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property,7500 Dickinson Ave,2021-01
1093,2021-01-25 11:17:00+00:00,2022-02-02,Theft; Trespassing,8400 Baltimore Ave,2021-01
1094,2021-01-29 18:15:00+00:00,2022-02-02,Fraud (Impersonation),7300 Baltimore Ave Sb,2021-01
1095,2021-02-06 00:15:00+00:00,2021-03-23,Alcohol Violation,Ellicott Hall,2021-02
1096,2021-02-19 22:15:00+00:00,2021-03-23,Alcohol Violation,Cambridge Hall,2021-02
1097,2021-02-12 20:30:00+00:00,2021-03-23,Alcohol Violation,Elkton Hall,2021-02
1098,2021-02-26 00:18:00+00:00,2021-03-23,Noise Violation,7500 Dickinson Avenue,2021-02
1099,2021-02-10 01:00:00+00:00,2021-03-23,Noise Violation,7300 Hopkins Avenue,2021-02
1100,2021-02-01 19:45:00+00:00,2021-03-23,Noise Violation,Elkton Hall,2021-02
1101,2021-02-13 02:30:00+00:00,2021-03-23,Noise Violation,Prince Frederick Hall,2021-02
1102,2021-02-28 03:30:00+00:00,2021-03-23,Noise Violation,Oakland Hall,2021-02
1103,2021-02-06 23:59:00+00:00,2021-03-23,Noise Violation,4300 Hartwick Road,2021-02
1104,2021-02-07 00:20:00+00:00,2021-03-23,Noise Violation,4300 Hartwick Road,2021-02
1105,2021-02-12 12:15:00+00:00,2021-03-23,Noise Violation,7500 Hopkins Avenue,2021-02
1106,2021-02-06 00:40:00+00:00,2021-03-23,Noise Violation,430 Knox Road,2021-02
1107,2021-02-12 23:55:00+00:00,2021-03-23,Noise Violation,7300 Rhode Island Avenue,2021-02
1108,2021-02-12 23:42:00+00:00,2021-03-23,Noise Violation,7300 Hopkins Avenue,2021-02
1109,2021-02-25 00:18:00+00:00,2021-03-23,Noise Violation,Centreville Hall,2021-02
1110,2021-02-28 00:30:00+00:00,2021-03-23,Noise Violation,Cumberland Hall,2021-02
1111,2021-02-22 05:30:00+00:00,2021-03-23,Harassment,Montgomery Hall,2021-02
1112,2021-02-15 21:00:00+00:00,2021-03-23,Vandalism,Denton Hall,2021-02
1113,2021-02-14 23:05:00+00:00,2021-03-23,Vandalism,Prince Frederick Hall,2021-02
1114,2021-02-05 16:30:00+00:00,2021-05-05,Theft from Auto,Acredale Community Park (4300 Metzerott Road),2021-02
1115,2021-02-01 10:17:00+00:00,2022-02-02,Trespassing,7100 Baltimore Ave Nb,2021-02
1116,2021-02-03 01:52:00+00:00,2022-02-02,Assault (Simple),4400 Lehigh Rd,2021-02
1117,2021-02-10 10:55:00+00:00,2022-02-02,Theft,4700 Berwyn House Rd,2021-02
1118,2021-02-11 11:57:00+00:00,2022-02-02,Theft (Parts/Accessories From Motor Vehicle),8100 Baltimore Ave Sb,2021-02
1119,2021-02-13 12:53:00+00:00,2022-02-02,Theft (From Building),7300 Baltimore Ave Sb,2021-02
1120,2021-02-15 07:32:00+00:00,2022-02-02,Assault (Simple),7500 Baltimore Ave Nb,2021-02
1121,2021-02-22 10:53:00+00:00,2022-02-02,Theft,7700 Adelphi Rd Nb,2021-02
1122,2021-02-28 02:21:00+00:00,2022-02-02,Trespassing,4700 Berwyn House Rd,2021-02
1123,2021-02-05 16:30:00+00:00,2022-02-07,Larceny - Theft from Motor Vehicle,Acredale Community Park (4300 Metzerott Road),2021-02
1124,2021-02-27 02:30:00+00:00,2021-02-27,Alcohol Violation,Caroline Hall,2021-02
1125,2021-03-27 00:15:00+00:00,2021-04-14,Alcohol Violation,Centreville Hall,2021-03
1126,2021-03-06 22:00:00+00:00,2021-04-14,Alcohol Violation,Dorchester Hall,2021-03
1127,2021-03-26 22:06:00+00:00,2021-04-14,Alcohol Violation,Hagerstown Hall,2021-03
1128,2021-03-06 01:00:00+00:00,2021-04-14,Alcohol Violation,LaPlata Hall,2021-03
1129,2021-03-27 19:00:00+00:00,2021-04-14,Vandalism,LaPlata Hall,2021-03
1130,2021-03-06 00:49:00+00:00,2021-04-14,Noise Violation,8300 Baltimore Avenue,2021-03
1131,2021-03-27 01:30:00+00:00,2021-04-14,Noise Violation,8400 Baltimore Avenue,2021-03
1132,2021-03-06 00:02:00+00:00,2021-04-14,Noise Violation,8200 Baltimore Avenue,2021-03
1133,2021-03-04 01:15:00+00:00,2021-04-14,Noise Violation,South Campus Commons,2021-03
1134,2021-03-28 00:06:00+00:00,2021-04-14,Alcohol Violation,Stadium Drive Garage,2021-03
1135,2021-03-06 20:45:00+00:00,2021-05-13,Alcohol Violation,LaPlata Hall,2021-03
1136,2021-03-02 12:52:00+00:00,2022-02-02,Fraud (Identity Theft),4600 Harvard Rd,2021-03
1137,2021-03-05 18:06:00+00:00,2022-02-02,Trespassing,4300 Hartwick Rd,2021-03
1138,2021-03-15 14:05:00+00:00,2022-02-02,Sex Offense (Rape),7300 Princeton Ave,2021-03
1139,2021-03-19 14:50:00+00:00,2022-02-02,Destruction/Damage/Vandalism Property; Theft (Shoplifting),8300 Baltimore Ave,2021-03
1140,2021-03-21 14:43:00+00:00,2022-02-02,Robbery,4900 Lakeland Rd,2021-03
1141,2021-03-26 00:30:00+00:00,2022-02-02,Counterfeiting/Forgery,7400 Baltimore Ave Nb,2021-03
1142,2021-03-28 17:13:00+00:00,2022-02-02,Burglary/Breaking and Entering; Destruction/Damage/Vandalism Property,8200 Baltimore Ave,2021-03
